Date,Open,High,Low,Close,Volume,Adj Close
2013-11-18,489.00,497.70,489.00,492.20,2331000,480.61
2013-11-15,486.30,486.30,486.30,486.30,000,474.85
2013-11-14,485.00,490.80,480.60,486.30,2317700,474.85
2013-11-13,483.00,487.00,479.95,482.30,1576600,470.94
2013-11-12,484.80,489.65,477.60,482.60,4462800,471.24
2013-11-11,480.05,487.05,479.05,481.60,2257300,470.26
2013-11-08,484.70,486.90,478.00,481.55,1043000,470.21
2013-11-07,485.00,489.00,478.00,481.95,2492000,470.60
2013-11-06,483.00,487.85,479.40,482.40,1766300,471.04
2013-11-05,482.25,483.95,475.00,480.10,1361600,468.80
2013-11-04,482.55,482.55,482.55,482.55,000,471.19
2013-11-01,477.25,484.80,477.25,482.55,1303400,471.19
2013-10-31,475.10,485.85,475.00,477.70,3774600,466.45
2013-10-30,487.90,487.90,473.10,476.75,2473900,465.52
2013-10-29,485.70,488.05,481.00,486.55,2291400,475.09
2013-10-28,483.60,485.60,476.70,483.85,1949300,472.46
2013-10-25,470.00,483.65,467.70,481.10,3707700,469.77
2013-10-24,492.45,494.20,469.15,470.85,4739900,459.76
2013-10-23,510.80,510.90,482.20,492.45,6854600,480.86
2013-10-22,515.00,517.70,509.00,514.80,4203400,502.68
2013-10-21,510.00,514.80,501.30,506.00,4079900,494.09
2013-10-18,501.00,511.90,494.50,506.40,3079800,494.48
2013-10-17,512.10,516.50,491.50,495.00,3576300,483.35
2013-10-16,510.60,510.60,510.60,510.60,000,498.58
2013-10-15,505.00,519.75,504.10,510.60,5414600,498.58
2013-10-14,490.80,508.00,490.50,501.10,3698900,489.30
2013-10-11,491.00,499.00,484.00,488.25,3533400,476.75
2013-10-10,480.00,484.55,478.00,480.15,2351200,468.84
2013-10-09,480.05,485.90,475.90,477.25,2685400,466.01
2013-10-08,485.00,493.00,480.20,483.45,1970400,472.07
2013-10-07,484.50,486.50,481.00,482.00,1047200,470.65
2013-10-04,484.05,491.00,479.35,482.95,1302300,471.58
2013-10-03,474.00,489.00,473.90,485.10,3146900,473.68
2013-10-02,471.85,471.85,471.85,471.85,000,460.74
2013-10-01,475.90,479.50,470.05,471.85,1160000,460.74
2013-09-30,476.05,484.90,470.10,473.05,1521400,461.91
2013-09-27,482.00,484.90,472.50,475.85,2161700,464.65
2013-09-26,474.25,489.90,474.00,478.25,5184200,466.99
2013-09-25,480.00,485.55,474.10,475.55,1907600,464.35
2013-09-24,486.00,490.40,473.25,477.85,1702200,466.60
2013-09-23,476.00,489.90,474.00,483.50,2585700,472.12
2013-09-20,471.00,481.30,471.00,474.90,1645400,463.72
2013-09-19,478.00,483.65,468.60,472.00,1586800,460.89
2013-09-18,475.00,485.00,472.75,480.70,2525100,469.38
2013-09-17,453.85,480.00,453.25,474.95,2752900,463.77
2013-09-16,456.30,458.00,446.90,451.70,2565700,441.06
2013-09-13,474.00,474.00,450.95,455.50,3403000,444.78
2013-09-12,474.00,479.60,468.15,471.90,4495500,460.79
2013-09-11,472.35,482.90,470.30,475.00,4465800,463.82
2013-09-10,473.65,484.00,466.30,472.05,4135800,460.94
2013-09-09,468.50,468.50,468.50,468.50,000,457.47
2013-09-06,468.15,483.90,464.90,468.50,4330700,457.47
2013-09-05,481.65,484.00,464.00,468.90,3066300,457.86
2013-09-04,481.25,492.50,476.50,481.30,3487200,469.97
2013-09-03,485.25,500.60,473.50,479.35,2735700,468.06
2013-09-02,483.05,489.60,480.75,484.45,2277100,473.04
2013-08-30,475.25,495.00,468.55,483.60,10846500,472.21
2013-08-29,472.00,479.90,462.25,473.45,4606100,462.30
2013-08-28,458.45,474.05,458.00,471.45,4762900,460.35
2013-08-27,459.55,465.60,451.60,454.95,2354600,444.24
2013-08-26,449.50,466.00,449.50,459.10,2650900,448.29
2013-08-23,444.15,451.00,437.55,448.20,2619900,437.65
2013-08-22,440.00,448.85,435.50,444.70,1473500,434.23
2013-08-21,447.60,452.85,437.80,441.95,1563400,431.54
2013-08-20,453.20,460.00,441.80,448.25,2058400,437.70
2013-08-19,455.30,464.00,451.80,456.45,1334500,445.70
2013-08-16,456.70,467.90,453.35,456.50,2632200,445.75
2013-08-15,460.10,460.10,460.10,460.10,000,449.27
2013-08-14,466.25,472.90,454.10,460.10,1414500,449.27
2013-08-13,454.00,469.45,454.00,467.60,1988700,456.59
2013-08-12,443.00,455.05,443.00,454.70,1653400,443.99
2013-08-09,447.15,447.15,447.15,447.15,000,436.62
2013-08-08,448.00,450.00,432.90,447.15,2014800,436.62
2013-08-07,450.00,462.70,445.75,451.05,3278000,440.43
2013-08-06,447.25,463.70,447.20,451.30,3370400,440.67
2013-08-05,438.00,451.00,434.55,449.25,2502500,438.67
2013-08-02,436.25,451.70,434.40,438.70,2037300,428.37
2013-08-01,438.00,443.80,427.50,436.40,1966700,426.13
2013-07-31,420.00,441.00,420.00,438.00,3612500,427.69
2013-07-30,410.00,423.00,408.05,418.80,3201900,408.94
2013-07-29,401.00,418.00,391.60,408.05,6388200,398.44
2013-07-26,380.10,387.65,368.00,381.95,2534500,372.96
2013-07-25,392.00,393.95,369.30,376.25,2611800,367.39
2013-07-24,382.00,394.45,380.00,392.35,1579500,383.11
2013-07-23,392.75,397.50,381.85,384.20,1409800,375.15
2013-07-22,391.00,394.50,385.80,392.95,1003700,383.70
2013-07-19,390.00,393.00,387.05,391.40,1277400,382.18
2013-07-18,386.20,394.00,382.60,385.85,1106800,376.77
2013-07-17,376.00,390.35,375.15,387.10,1325100,377.99
2013-07-16,375.60,384.95,371.00,375.40,1141000,366.56
2013-07-15,374.90,383.40,374.90,381.90,1200100,372.91
2013-07-12,370.00,380.00,367.75,375.60,2077600,366.76
2013-07-11,366.85,368.80,362.60,364.00,1247000,355.43
2013-07-10,360.00,365.35,360.00,364.85,1619100,356.26
2013-07-09,355.20,361.00,355.00,360.15,1145700,351.67
2013-07-08,346.25,357.70,346.25,355.50,1587000,347.13
2013-07-05,351.15,351.90,348.00,350.95,1608500,342.69
2013-07-04,346.00,350.90,345.00,349.65,1067400,341.42
2013-07-03,352.00,353.90,341.50,343.35,972900,335.27
2013-07-02,352.00,354.70,349.15,352.95,1874600,344.64
2013-07-01,349.00,352.00,345.50,351.25,834200,342.98
2013-06-28,351.90,352.00,341.00,349.00,1905300,340.78
2013-06-27,348.00,351.70,343.00,347.10,1900600,338.93
2013-06-26,343.30,349.40,340.00,348.10,1239400,335.02
2013-06-25,346.00,346.00,336.00,343.75,1373900,330.84
2013-06-24,348.00,349.90,330.95,346.55,1300600,333.53
2013-06-21,345.90,351.00,344.90,348.40,3643900,335.31
2013-06-20,344.00,349.40,341.40,347.50,4004900,334.44
2013-06-19,342.00,344.70,337.50,343.50,942300,330.59
2013-06-18,338.10,342.00,337.20,341.20,440400,328.38
2013-06-17,337.60,340.00,332.00,338.05,538800,325.35
2013-06-14,330.25,342.80,330.25,337.55,1209700,324.87
2013-06-13,340.00,341.00,332.00,340.00,679000,327.23
2013-06-12,345.75,346.00,341.00,344.35,1113000,331.41
2013-06-11,344.10,347.00,319.90,345.05,2330500,332.09
2013-06-10,337.00,344.90,336.80,343.25,1044300,330.35
2013-06-07,328.00,339.00,328.00,334.90,817100,322.32
2013-06-06,324.00,331.25,323.10,330.00,1359700,317.60
2013-06-05,332.00,332.70,324.05,325.00,1006600,312.79
2013-06-04,326.35,333.85,326.35,330.90,959600,318.47
2013-06-03,330.10,334.00,323.10,324.95,1473900,312.74
2013-05-31,337.75,339.85,314.85,327.65,2724100,315.34
2013-05-30,337.55,342.30,334.50,336.10,1170200,323.47
2013-05-29,339.00,344.30,336.05,339.35,1712400,326.60
2013-05-28,338.70,343.45,336.00,340.10,1326100,327.32
2013-05-27,337.00,342.00,333.00,340.25,1232800,327.47
2013-05-24,338.55,342.40,332.80,336.20,669800,323.57
2013-05-23,341.05,342.55,331.80,337.10,2155800,324.44
2013-05-22,339.40,343.60,339.10,342.05,1441600,329.20
2013-05-21,338.05,343.75,336.05,338.90,1517300,326.17
2013-05-20,341.25,341.85,334.15,337.95,4592800,325.25
2013-05-17,346.00,349.40,338.60,344.00,1097700,331.08
2013-05-16,346.50,347.35,342.55,346.45,1922000,333.43
2013-05-15,347.25,351.50,341.50,346.15,1538000,333.15
2013-05-14,348.00,350.50,344.60,347.65,522300,334.59
2013-05-13,355.00,355.60,346.20,347.95,1340000,334.88
2013-05-10,356.55,357.15,352.60,355.00,1506900,341.66
2013-05-09,352.40,357.00,352.00,354.80,1261700,341.47
2013-05-08,352.00,354.40,347.25,351.00,1050100,337.81
2013-05-07,358.00,360.00,349.05,350.80,2339800,337.62
2013-05-06,356.90,361.45,353.70,357.35,1148100,343.92
2013-05-03,350.65,357.85,349.20,355.25,1272100,341.90
2013-05-02,348.00,355.50,343.45,352.25,1547800,339.02
2013-05-01,348.35,348.35,348.35,348.35,000,335.26
2013-04-30,344.15,350.00,339.25,348.35,1534600,335.26
2013-04-29,331.00,342.90,327.20,342.00,1729300,329.15
2013-04-26,336.20,339.00,327.75,330.20,1479900,317.79
2013-04-25,343.00,344.95,332.70,335.50,2424200,322.90
2013-04-24,342.75,342.75,342.75,342.75,000,329.87
2013-04-23,342.25,347.90,340.10,342.75,1735300,329.87
2013-04-22,346.30,348.00,327.50,339.40,8949500,326.65
2013-04-19,369.05,369.05,369.05,369.05,000,355.18
